Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
12/29/2017,-0.619878234097499,-0.62363124792724,-0.678897582689693,-0.0940168119285687,-0.558019855351344,-0.53853073313337
01/05/2018,-0.623551932142602,-0.629119617494539,-0.679031436006356,-0.0986955439552347,-0.558666354486316,-0.531912775703217
01/12/2018,-0.623562369502196,-0.627963525617394,-0.674265907801622,-0.10267817065644,-0.561509235508191,-0.524963014274796
01/19/2018,-0.619108331029146,-0.618607107274762,-0.664430184483107,-0.104700703140821,-0.567644834892694,-0.517746212410817
01/26/2018,-0.610184182829723,-0.601588953288872,-0.649728373758815,-0.10389026079919,-0.578175001022814,-0.51032463969442
02/02/2018,-0.596397025098911,-0.579090873228089,-0.631047291839888,-0.0991922431368927,-0.593305479851588,-0.502755029503753
02/09/2018,-0.578626171915842,-0.554087952225866,-0.609414554665953,-0.0909889913061833,-0.612487811834039,-0.495087828690902
02/16/2018,-0.562867414048442,-0.534808072131899,-0.58942670508195,-0.0806445674707523,-0.635684803630756,-0.487368095735358
02/23/2018,-0.547956719599538,-0.518672924135441,-0.571102650004556,-0.0687098427408846,-0.66084349968872,-0.479638019127814
03/02/2018,-0.533524963484183,-0.503207424196094,-0.554085404883688,-0.0565386650656354,-0.685996990978879,-0.47193860340609
03/09/2018,-0.520316455584235,-0.48666168344875,-0.539649006543555,-0.045037619854851,-0.708940347870859,-0.464311345204574
03/16/2018,-0.509746076690881,-0.469520158058013,-0.529234682548006,-0.0355015428612511,-0.727056360855024,-0.456800609035199
03/23/2018,-0.50214801834723,-0.453047160648596,-0.522968366986767,-0.0287152552074741,-0.738479821305666,-0.44945407051745
03/30/2018,-0.500469714588519,-0.443690959721991,-0.523339059160305,-0.0255586632566787,-0.740956745223557,-0.442322936421525
04/06/2018,-0.504023691904885,-0.442408129317061,-0.52928581008174,-0.0259632754855057,-0.733374230119113,-0.435457666863873
04/13/2018,-0.514058526527012,-0.453142835051329,-0.541580633060351,-0.0297158978411445,-0.714656896436696,-0.428917082923547
04/20/2018,-0.528328699718634,-0.471904454161587,-0.558290961077091,-0.0357910342323763,-0.684114797934888,-0.422743114812622
